@relation fluctuation_centroid_Mean

@attribute fluctuation_peak_PeakPosMean numeric
@attribute fluctuation_peak_PeakMagMean numeric
@attribute fluctuation_centroid_Mean {NO,YES}
@attribute rhythm_attack_time_Mean numeric
@attribute rhythm_attack_time_Std numeric

@data
3.480924,6014.740255,NO,0.035,0.017321
0.579534,4999.025653,NO,0.032,0.006325
2.86986,5583.155825,NO,0.02,0.008165
1.690364,5122.991842,YES,0.032,0.008367
1.734067,5223.963011,YES,0.026667,0.015275
2.863316,5594.093773,YES,0.028333,0.009832
3.793526,5530.71125,YES,0.0325,0.007071
3.900277,5445.992389,YES,0.03,0.011547
1.632165,5426.257847,YES,0.032857,0.007559
3.995589,6026.267911,YES,0.034286,0.012724
3.996159,6391.19711,YES,0.0325,0.008864
1.658901,5353.643382,YES,0.03,0.01
2.622931,4956.612881,NO,0.04,0.014142
3.911653,4417.953131,NO,0,0
2.801628,5409.052727,YES,0.046667,0.011547
0.554365,4408.081812,NO,0.04,0
0.561218,4936.098098,NO,0.028,0.013038
3.898727,5641.352947,NO,0.034,0.013499
0.549844,5354.204815,YES,0.03875,0.016421
1.74968,5866.453074,YES,0.033333,0.01
3.911961,5734.020576,NO,0.032857,0.01976
1.666942,5665.96798,NO,0.03,0.010954
0.576014,4662.126898,YES,0.04,0
3.777369,4841.954652,NO,0.05,0.014142
0.575376,4173.473769,YES,0.04,0.018708
0.577431,4284.786361,NO,0.04,0.014142
3.627494,4759.379282,NO,0.031429,0.01069
0.561859,4840.932848,NO,0.025,0.005477
0.589639,5232.424695,NO,0.034,0.023022
1.699225,5251.400994,NO,0.03,0.007071
0.578563,5045.045741,NO,0.06,0.01
3.989436,7293.443521,NO,0.035,0.011952
2.795417,5502.317414,YES,0.0475,0.017078
3.996528,5402.721817,NO,0.04,0.010541
2.791596,5136.711203,YES,0.032,0.010954
1.724315,5332.06981,NO,0.04,0.020976
2.829788,5422.604345,NO,0.03,0.008165
3.890806,5176.714571,NO,0.0375,0.012583
2.927932,6311.749408,NO,0.036,0.011402
1.728514,5482.910292,NO,0.044,0.005477
1.676003,5373.73236,NO,0.04,0.011547
4.353221,6153.6166,NO,0.035,0.016903
3.627494,4759.379282,NO,0.031429,0.01069
0.561859,4840.932848,NO,0.025,0.005477
0.589639,5232.424695,NO,0.034,0.023022
1.699225,5251.400994,NO,0.03,0.007071
0.578563,5045.045741,NO,0.06,0.01
3.989436,7293.443521,NO,0.035,0.011952
2.795417,5502.317414,YES,0.0475,0.017078
3.996528,5402.721817,NO,0.04,0.010541
2.791596,5136.711203,YES,0.032,0.010954
1.724315,5332.06981,NO,0.04,0.020976
2.829788,5422.604345,NO,0.03,0.008165
3.890806,5176.714571,NO,0.0375,0.012583
2.927932,6311.749408,NO,0.036,0.011402
1.728514,5482.910292,NO,0.044,0.005477
1.676003,5373.73236,NO,0.04,0.011547
4.353221,6153.6166,NO,0.035,0.016903
3.653169,4786.748937,YES,0.045,0.007071
0.580705,5148.714524,YES,0.038571,0.01215
2.85519,6089.520239,YES,0.045,0.017321
0.566159,5276.827597,YES,0.035,0.01069
0.578566,5392.267947,YES,0.045,0.018708
2.861773,5816.308554,NO,0.04125,0.013562
0.572692,5292.500626,YES,0.043333,0.012111
0.58018,5278.985484,YES,0.045,0.023805
2.780003,5503.989937,YES,0.028,0.008367
0.57867,5022.849719,YES,0.036,0.031305
2.872469,5108.281067,YES,0.025,0.007071
0.583705,5708.215925,YES,0.047143,0.011127
1.91965,6414.332011,YES,0.036667,0.01118
3.87223,6005.277388,NO,0.023333,0.015275
3.999984,5847.68935,NO,0.053333,0.005774
4.042689,7802.940282,NO,0.035,0.01291
