fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_attack_time_Mean,rhythm_attack_time_Std
3.480924,NO,4.065431,0.035,0.017321
0.579534,NO,4.100424,0.032,0.006325
2.86986,NO,4.117201,0.02,0.008165
1.690364,NO,4.007723,0.032,0.008367
1.734067,NO,4.030611,0.026667,0.015275
2.863316,NO,4.030325,0.028333,0.009832
3.793526,NO,4.010837,0.0325,0.007071
3.900277,NO,3.981497,0.03,0.011547
1.632165,NO,3.962732,0.032857,0.007559
3.995589,NO,4.002286,0.034286,0.012724
3.996159,NO,4.060477,0.0325,0.008864
1.658901,NO,3.861419,0.03,0.01
2.622931,NO,4.187718,0.04,0.014142
3.911653,NO,4.151825,0,0
2.801628,NO,4.051594,0.046667,0.011547
0.554365,NO,4.06648,0.04,0
0.561218,NO,4.075472,0.028,0.013038
3.898727,NO,4.10732,0.034,0.013499
0.549844,NO,4.020024,0.03875,0.016421
1.74968,NO,3.994306,0.033333,0.01
3.911961,NO,4.069005,0.032857,0.01976
1.666942,NO,4.091736,0.03,0.010954
0.576014,NO,3.918752,0.04,0
3.777369,NO,4.18692,0.05,0.014142
0.575376,NO,3.938333,0.04,0.018708
0.577431,NO,4.195842,0.04,0.014142
3.627494,NO,4.566247,0.031429,0.01069
0.561859,NO,4.110747,0.025,0.005477
0.589639,NO,4.136621,0.034,0.023022
1.699225,NO,4.070757,0.03,0.007071
0.578563,NO,4.147478,0.06,0.01
3.989436,YES,4.201837,0.035,0.011952
2.795417,NO,3.998596,0.0475,0.017078
3.996528,NO,4.138269,0.04,0.010541
2.791596,NO,4.022339,0.032,0.010954
1.724315,NO,4.187717,0.04,0.020976
2.829788,NO,4.223399,0.03,0.008165
3.890806,NO,4.067714,0.0375,0.012583
2.927932,NO,4.151514,0.036,0.011402
1.728514,NO,4.087027,0.044,0.005477
1.676003,NO,4.135855,0.04,0.011547
4.353221,NO,4.115601,0.035,0.016903
3.627494,NO,4.566247,0.031429,0.01069
0.561859,NO,4.110747,0.025,0.005477
0.589639,NO,4.136621,0.034,0.023022
1.699225,NO,4.070757,0.03,0.007071
0.578563,NO,4.147478,0.06,0.01
3.989436,YES,4.201837,0.035,0.011952
2.795417,NO,3.998596,0.0475,0.017078
3.996528,NO,4.138269,0.04,0.010541
2.791596,NO,4.022339,0.032,0.010954
1.724315,NO,4.187717,0.04,0.020976
2.829788,NO,4.223399,0.03,0.008165
3.890806,NO,4.067714,0.0375,0.012583
2.927932,NO,4.151514,0.036,0.011402
1.728514,NO,4.087027,0.044,0.005477
1.676003,NO,4.135855,0.04,0.011547
4.353221,NO,4.115601,0.035,0.016903
3.653169,NO,4.052874,0.045,0.007071
0.580705,NO,4.002989,0.038571,0.01215
2.85519,NO,4.012869,0.045,0.017321
0.566159,NO,4.020293,0.035,0.01069
0.578566,NO,3.97582,0.045,0.018708
2.861773,NO,4.158194,0.04125,0.013562
0.572692,NO,3.989223,0.043333,0.012111
0.58018,NO,3.994357,0.045,0.023805
2.780003,NO,4.037611,0.028,0.008367
