fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_attack_time_Mean,rhythm_attack_time_Std
NO,6014.740255,4.065431,0.035,0.017321
NO,4999.025653,4.100424,0.032,0.006325
NO,5583.155825,4.117201,0.02,0.008165
NO,5122.991842,4.007723,0.032,0.008367
NO,5223.963011,4.030611,0.026667,0.015275
NO,5594.093773,4.030325,0.028333,0.009832
NO,5530.71125,4.010837,0.0325,0.007071
NO,5445.992389,3.981497,0.03,0.011547
NO,5426.257847,3.962732,0.032857,0.007559
YES,6026.267911,4.002286,0.034286,0.012724
YES,6391.19711,4.060477,0.0325,0.008864
NO,5353.643382,3.861419,0.03,0.01
NO,4956.612881,4.187718,0.04,0.014142
NO,4417.953131,4.151825,0,0
NO,5409.052727,4.051594,0.046667,0.011547
NO,4408.081812,4.06648,0.04,0
NO,4936.098098,4.075472,0.028,0.013038
NO,5641.352947,4.10732,0.034,0.013499
NO,5354.204815,4.020024,0.03875,0.016421
NO,5866.453074,3.994306,0.033333,0.01
NO,5734.020576,4.069005,0.032857,0.01976
NO,5665.96798,4.091736,0.03,0.010954
NO,4662.126898,3.918752,0.04,0
NO,4841.954652,4.18692,0.05,0.014142
NO,4173.473769,3.938333,0.04,0.018708
NO,4284.786361,4.195842,0.04,0.014142
NO,4759.379282,4.566247,0.031429,0.01069
NO,4840.932848,4.110747,0.025,0.005477
NO,5232.424695,4.136621,0.034,0.023022
NO,5251.400994,4.070757,0.03,0.007071
NO,5045.045741,4.147478,0.06,0.01
YES,7293.443521,4.201837,0.035,0.011952
NO,5502.317414,3.998596,0.0475,0.017078
YES,5402.721817,4.138269,0.04,0.010541
NO,5136.711203,4.022339,0.032,0.010954
NO,5332.06981,4.187717,0.04,0.020976
NO,5422.604345,4.223399,0.03,0.008165
NO,5176.714571,4.067714,0.0375,0.012583
NO,6311.749408,4.151514,0.036,0.011402
NO,5482.910292,4.087027,0.044,0.005477
NO,5373.73236,4.135855,0.04,0.011547
YES,6153.6166,4.115601,0.035,0.016903
