fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_attack_time_Mean,rhythm_attack_time_Std
3.480924,6014.740255,4.065431,NO,0.017321
0.579534,4999.025653,4.100424,NO,0.006325
2.86986,5583.155825,4.117201,NO,0.008165
1.690364,5122.991842,4.007723,NO,0.008367
1.734067,5223.963011,4.030611,NO,0.015275
2.863316,5594.093773,4.030325,NO,0.009832
3.793526,5530.71125,4.010837,NO,0.007071
3.900277,5445.992389,3.981497,NO,0.011547
1.632165,5426.257847,3.962732,NO,0.007559
3.995589,6026.267911,4.002286,NO,0.012724
3.996159,6391.19711,4.060477,NO,0.008864
1.658901,5353.643382,3.861419,NO,0.01
2.622931,4956.612881,4.187718,YES,0.014142
3.911653,4417.953131,4.151825,NO,0
2.801628,5409.052727,4.051594,YES,0.011547
0.554365,4408.081812,4.06648,YES,0
0.561218,4936.098098,4.075472,NO,0.013038
3.898727,5641.352947,4.10732,NO,0.013499
0.549844,5354.204815,4.020024,YES,0.016421
1.74968,5866.453074,3.994306,NO,0.01
3.911961,5734.020576,4.069005,NO,0.01976
1.666942,5665.96798,4.091736,NO,0.010954
0.576014,4662.126898,3.918752,YES,0
3.777369,4841.954652,4.18692,YES,0.014142
0.575376,4173.473769,3.938333,YES,0.018708
0.577431,4284.786361,4.195842,YES,0.014142
3.627494,4759.379282,4.566247,NO,0.01069
0.561859,4840.932848,4.110747,NO,0.005477
0.589639,5232.424695,4.136621,NO,0.023022
1.699225,5251.400994,4.070757,NO,0.007071
0.578563,5045.045741,4.147478,YES,0.01
3.989436,7293.443521,4.201837,NO,0.011952
2.795417,5502.317414,3.998596,YES,0.017078
3.996528,5402.721817,4.138269,YES,0.010541
2.791596,5136.711203,4.022339,NO,0.010954
1.724315,5332.06981,4.187717,YES,0.020976
2.829788,5422.604345,4.223399,NO,0.008165
3.890806,5176.714571,4.067714,YES,0.012583
2.927932,6311.749408,4.151514,YES,0.011402
1.728514,5482.910292,4.087027,YES,0.005477
1.676003,5373.73236,4.135855,YES,0.011547
4.353221,6153.6166,4.115601,NO,0.016903
3.627494,4759.379282,4.566247,NO,0.01069
0.561859,4840.932848,4.110747,NO,0.005477
0.589639,5232.424695,4.136621,NO,0.023022
1.699225,5251.400994,4.070757,NO,0.007071
0.578563,5045.045741,4.147478,YES,0.01
3.989436,7293.443521,4.201837,NO,0.011952
2.795417,5502.317414,3.998596,YES,0.017078
3.996528,5402.721817,4.138269,YES,0.010541
2.791596,5136.711203,4.022339,NO,0.010954
1.724315,5332.06981,4.187717,YES,0.020976
2.829788,5422.604345,4.223399,NO,0.008165
3.890806,5176.714571,4.067714,YES,0.012583
2.927932,6311.749408,4.151514,YES,0.011402
1.728514,5482.910292,4.087027,YES,0.005477
1.676003,5373.73236,4.135855,YES,0.011547
4.353221,6153.6166,4.115601,NO,0.016903
3.653169,4786.748937,4.052874,YES,0.007071
0.580705,5148.714524,4.002989,YES,0.01215
2.85519,6089.520239,4.012869,YES,0.017321
0.566159,5276.827597,4.020293,NO,0.01069
0.578566,5392.267947,3.97582,YES,0.018708
2.861773,5816.308554,4.158194,YES,0.013562
0.572692,5292.500626,3.989223,YES,0.012111
0.58018,5278.985484,3.994357,YES,0.023805
2.780003,5503.989937,4.037611,NO,0.008367
0.57867,5022.849719,4.015631,YES,0.031305
2.872469,5108.281067,4.02109,NO,0.007071
0.583705,5708.215925,3.989623,YES,0.011127
1.91965,6414.332011,4.031937,YES,0.01118
3.87223,6005.277388,4.546658,NO,0.015275
3.999984,5847.68935,4.764825,YES,0.005774
4.042689,7802.940282,4.738219,NO,0.01291
3.979014,5166.52735,4.740733,YES,0.015275
4.005391,5057.002938,4.710635,NO,0.017321
4.039818,8316.883267,4.485269,YES,0.017078
3.997388,6511.47853,4.618732,NO,0.023094
4.704682,4779.113123,4.590239,YES,0.015275
3.988912,6489.81805,4.697339,YES,0.017078
4.007898,7554.902067,4.619081,YES,0.005774
3.999606,4692.957641,4.532755,YES,0.015275
3.994121,6474.75853,4.754854,YES,0.011547
4.022712,7795.926814,4.622927,YES,0.02
4.002567,4556.584277,4.757935,NO,0.020817
3.508592,5185.522052,4.526,YES,0.005774
4.60058,4830.321485,4.425756,YES,0.006409
4.141114,5300.119381,4.082058,YES,0.008997
1.89174,5294.712874,4.120001,NO,0.013663
4.008275,6071.821775,4.127798,NO,0.008165
1.722705,4474.925715,4.276428,YES,0.015166
4.143348,5254.977957,4.24138,YES,0.020412
3.825729,4080.912739,4.270567,YES,0.020494
3.999379,7419.802405,4.333661,YES,0.017678
4.149964,5563.583751,4.197155,NO,0.01215
1.756866,5395.022685,4.234422,YES,0.017512
4.024611,5679.651364,4.210566,NO,0.019408
2.773305,5158.820119,4.361962,YES,0.03937
4.099642,4959.781555,4.360169,YES,0.008165
2.598917,3475.895714,4.000002,NO,0.008944
2.859856,3950.951915,4.07875,YES,0.021602
0.586084,4248.135986,4.110367,YES,0.025166
0.572154,4282.102434,4.014782,NO,0.014577
2.939558,5200.688351,3.923923,NO,0.008233
0.579321,4259.925351,4.04625,NO,0.007559
2.853822,5478.094361,4.088934,NO,0.006901
1.720653,4355.478613,4.003761,NO,0.011402
1.67126,4064.30341,4.079121,NO,0.009161
2.863043,4679.906954,4.017254,NO,0.005175
2.857711,4794.464648,4.068714,NO,0.015119
2.720338,5690.625937,3.991294,YES,0.008944
0.633985,5739.457734,4.454659,YES,0.011402
4.861746,7583.422677,4.535169,YES,0.005774
4.712621,7843.5873,4.48387,YES,0.005
2.861235,6804.065584,4.031084,NO,0
5.216047,6948.365252,4.675331,YES,0.026077
4.983444,9195.714008,4.491722,YES,0.005774
4.978329,10304.59264,4.490767,YES,0.005
3.857437,6013.999128,4.265066,NO,0.008165
5.116287,10034.43859,4.400932,YES,0
5.004526,11982.27216,4.671817,YES,0
4.956516,10289.77549,4.649066,NO,0.014142
0.598286,5324.52098,4.123561,NO,0.012583
5.140226,8862.061068,4.332738,YES,0.025495
4.65863,10894.55495,4.169922,NO,0.005774
3.078461,7773.066865,3.908654,NO,0.009512
4.002845,5787.813353,4.143147,NO,0.010954
0.597241,5682.651015,4.101192,NO,0.010593
0.586605,5208.002139,4.005853,YES,0.008367
5.009135,5314.004349,4.222154,NO,0.009258
3.982657,5698.867457,4.16501,NO,0.008333
3.755862,5742.664572,4.17066,NO,0.007071
5.05842,6205.940564,4.233082,YES,0.011547
3.8209,5586.941053,4.243316,NO,0.00866
1.666277,5273.38723,4.105761,NO,0.00378
3.995451,7204.299828,4.171813,NO,0.013452
0.577925,5608.884932,4.015614,NO,0.011339
2.855016,5965.540709,4.083407,YES,0.005477
3.06077,5936.561928,4.064954,YES,0.012111
3.11128,7441.325834,4.082056,NO,0.007071
1.730202,5316.863408,4.124189,YES,0.005164
3.996597,5541.987322,4.094955,YES,0.009759
3.999905,5927.312628,4.049504,NO,0.008997
1.723401,6157.277671,4.100155,NO,0.015166
3.997429,6330.237898,4.061839,NO,0.011547
3.897671,5458.175113,4.065642,YES,0.008165
1.723885,5167.599596,4.0176,NO,0.009574
0.587824,5488.206164,3.97686,YES,0.014142
2.840249,5768.03338,4.124394,YES,0.017321
4.075216,6366.510863,4.052414,YES,0.014832
2.862834,5965.728402,4.088756,YES,0.01069
0.578299,5481.634367,4.073782,NO,0.021213
3.989896,5725.500304,4.120301,YES,0.012583
1.976064,6012.354892,4.00696,YES,0.011402
2.652881,3817.236565,4.210953,NO,0.007071
2.975014,4829.929356,4.110884,NO,0.020817
1.777512,4032.154346,4.309001,NO,0.007559
1.670307,3254.585873,4.449186,NO,0.005774
0.618211,3256.030371,4.12507,NO,0.01291
1.768496,3474.995195,4.219384,NO,0.014142
3.896724,4374.170385,4.096826,NO,0.01
3.658109,5542.489736,4.004719,NO,0.006325
3.908347,4150.389836,4.107495,NO,0.01
4.000626,4805.499616,4.068498,NO,0.014142
2.945829,4378.474468,4.085456,NO,0.009574
0.640992,4426.024429,4.094602,YES,0
3.761147,6582.350786,4.108821,NO,0.007071
3.99668,4993.313743,4.153701,NO,0.021213
3.938701,5907.188302,4.08543,NO,0
3.934677,31793.94574,4.368081,NO,0.021213
3.078747,5271.987766,3.996095,NO,0.013642
4.06657,5702.068426,4.04844,NO,0.010138
3.822042,5489.427528,4.022886,YES,0.01169
2.873584,5220.548193,4.09274,NO,0.004472
1.722271,5367.002284,4.096175,YES,0.013038
2.725637,4733.959191,3.876629,YES,0.015492
3.974327,6718.40949,4.094633,YES,0.007528
4.000326,5906.548981,4.082626,NO,0.01069
0.565493,4741.93115,4.052601,NO,0.00793
1.663885,4764.144009,4.131768,NO,0.01
3.894993,4938.28874,3.987332,YES,0.013801
3.973638,5857.713938,3.994924,YES,0.007528
0.592278,5668.890367,3.976214,NO,0.008367
0.704963,6700.058691,4.009911,YES,0.006325
4.258953,6963.198199,4.095388,YES,0.017078
2.858683,3479.481176,4.234902,NO,0.008367
4.002673,5335.0117,4.190296,YES,0.015119
3.966696,5247.848335,4.226447,YES,0.01472
2.962985,3827.597169,4.328702,YES,0.013663
4.025976,5001.213712,4.226676,NO,0.010488
4.893279,4020.508548,4.236253,YES,0.013801
4.167054,3325.837709,4.227952,YES,0.02
0.735705,1822.007193,4.437961,NO,0.010328
2.867692,5954.904087,4.174316,YES,0.012111
3.999192,4937.009181,4.098147,YES,0.021602
0.589352,3650.087435,4.174098,NO,0.017512
3.659374,5274.38874,3.95025,YES,0
3.890601,5861.215913,4.483979,YES,0
1.729058,6879.599351,3.93846,NO,0.021213
2.886662,5954.068579,4.142883,YES,0.011547
3.82669,7268.254985,4.52691,YES,0.011547
1.731076,5210.772208,4.146281,NO,0.01
2.7455,5606.321428,4.153173,YES,0
1.783659,6090.753173,4.043405,NO,0.021213
3.831364,6587.991389,4.180764,YES,0
2.873315,7200.690054,4.102617,YES,0.017321
0.585639,4371.022287,4.081248,NO,0.00488
0.991199,6650.484009,3.953885,NO,0
3.663576,3761.86084,3.977925,YES,0
2.988837,3963.520606,4.138898,YES,0.005774
2.860113,4783.430691,4.089689,YES,0.023664
3.914428,3999.615119,3.989605,NO,0.007071
0.601746,4392.677896,4.000902,YES,0.011402
2.869464,4400.766285,4.0902,YES,0.005
2.784698,4381.177018,4.004597,NO,0.008165
2.872425,4431.616042,4.153992,YES,0.005774
3.867913,4257.718022,4.051181,YES,0.014142
3.998117,4043.683346,4.112859,NO,0
2.878088,3688.141486,4.002257,NO,0.005774
3.917835,3642.986417,4.016524,NO,0.00414
3.702592,5882.277545,4.209105,YES,0.008367
2.829347,5737.650184,4.286553,NO,0.01
4.004666,5586.160524,4.146859,NO,0.006409
2.84367,5877.897944,4.185277,NO,0.01069
3.994886,5984.396733,4.125235,NO,0.011339
1.744187,5531.995173,4.189516,NO,0.018516
2.794885,5967.616422,4.104274,YES,0.02
2.82834,5954.45131,4.303202,YES,0.017224
3.864718,6247.848164,4.189969,NO,0.00991
2.873043,6483.699503,4.18437,NO,0.005477
4.220173,6253.490159,4.037737,NO,0.008165
1.677064,5529.587866,4.179404,NO,0.011339
2.726783,6470.561627,4.188558,NO,0.009574
3.91408,5420.192789,4.544854,YES,0.009512
4.162178,7324.803902,4.188439,NO,0.02
2.787424,6571.883642,4.498232,NO,0.015119
3.998537,6723.688829,4.293871,NO,0.01126
3.967899,6988.671266,4.603385,NO,0.007868
2.759289,5730.551143,4.590398,NO,0.011402
2.920295,7581.285349,4.199156,NO,0.010328
1.696392,5205.270938,4.425143,NO,0.00744
3.851349,8521.726976,4.469577,YES,0.015736
2.819653,7749.219259,4.687763,NO,0.01069
2.767731,7335.788298,4.480507,NO,0.018708
3.99711,7991.645858,4.554656,NO,0.013452
5.003897,5983.945322,4.495615,NO,0.012583
2.182184,6555.57283,4.364389,NO,0.007528
0.568504,3942.820434,4.38553,YES,0.01
2.81235,4515.32567,4.258874,NO,0.006325
3.896622,5021.237941,4.084045,YES,0.014639
1.657594,4605.514564,4.145795,NO,0.012464
2.816717,4963.942626,4.441884,NO,0.014142
1.697374,4852.678609,4.174452,YES,0.013452
2.754523,4903.630278,4.210604,YES,0.01069
3.890339,5442.492649,4.166034,NO,0.01236
1.65326,4652.104674,4.108569,YES,0.017525
2.785834,4451.905909,4.283825,NO,0.008756
1.720535,4722.9733,4.201484,YES,0.017678
1.688024,4832.334835,4.176665,YES,0.00488
3.913241,5379.232171,4.030856,NO,0.008165
1.744448,4863.101378,4.209519,YES,0.01169
0.534522,5552.78339,4.071104,YES,0.01169
1.729294,5981.807312,3.962392,YES,0.012536
2.872201,6233.043118,4.068539,NO,0.010607
1.679775,5792.802222,4.104546,YES,0.01126
2.850482,7403.394831,4.119132,YES,0.011667
1.738555,6014.906016,4.038084,YES,0.017224
1.692221,6052.998055,4.064869,NO,0.006901
1.709652,6202.401745,4.109448,YES,0.012724
2.887048,6565.943539,3.882512,YES,0.020683
3.995281,5378.932063,4.040975,YES,0.008944
1.726159,6130.375008,3.987299,YES,0.012817
1.712305,6210.609011,4.116149,NO,0.012464
2.98568,10529.40306,3.999686,NO,0.005774
2.53476,4634.719022,4.026918,YES,0
2.854644,5080.09515,3.974017,YES,0
3.995852,4504.067493,4.134977,NO,0.015275
1.67261,4681.373876,4.054096,YES,0.005774
2.870889,5391.092342,4.119706,YES,0.01
2.818928,5824.807169,4.108893,YES,0.017321
3.884277,4831.503239,4.15231,YES,0.007071
3.997965,4182.140274,4.047384,NO,0.009045
3.947914,4358.427474,4.046934,YES,0.007559
0.609851,4162.683989,4.035976,YES,0.035355
3.981347,4090.805086,4.036383,YES,0.005774
2.709673,4912.869658,4.066103,YES,0.020817
2.822317,5366.282203,4.229879,YES,0
2.852557,4598.573273,4.070374,NO,0
1.042388,6595.42017,4.118983,YES,0.015275
2.692225,4236.92397,4.415372,YES,0.01488
1.812686,4461.179411,4.301971,NO,0.006749
4.000224,7857.313622,4.351045,YES,0.012464
4.020153,5020.851323,4.35674,NO,0.012019
1.848893,5313.533366,4.327283,NO,0.014814
4.002779,7319.36918,4.222019,NO,0.01069
4.001742,4025.845451,4.314951,YES,0.015059
4.308016,4805.980796,4.45093,NO,0.009759
3.982255,7114.900101,4.290757,NO,0.013093
0.590142,4370.378717,4.378015,NO,0.007559
1.763219,4409.901061,4.289697,NO,0.00991
3.995295,7380.038369,4.176045,NO,0.013025
4.102967,4974.811506,4.388879,NO,0.01069
1.81092,5185.9296,4.28778,NO,0.013984
3.465697,5883.670743,4.317989,NO,0.01069
1.566262,4607.199091,4.125104,YES,0.010351
2.79672,5840.46723,3.914812,YES,0.016733
