@relation rhythm_attack_time_Std

@attribute fluctuation_peak_PeakPosMean numeric
@attribute fluctuation_peak_PeakMagMean numeric
@attribute fluctuation_centroid_Mean numeric
@attribute rhythm_attack_time_Mean numeric
@attribute rhythm_attack_time_Std {NO,YES}

@data
3.480924,6014.740255,4.065431,0.035,NO
0.579534,4999.025653,4.100424,0.032,NO
2.86986,5583.155825,4.117201,0.02,NO
1.690364,5122.991842,4.007723,0.032,NO
1.734067,5223.963011,4.030611,0.026667,NO
2.863316,5594.093773,4.030325,0.028333,NO
3.793526,5530.71125,4.010837,0.0325,NO
3.900277,5445.992389,3.981497,0.03,NO
1.632165,5426.257847,3.962732,0.032857,NO
3.995589,6026.267911,4.002286,0.034286,NO
3.996159,6391.19711,4.060477,0.0325,NO
1.658901,5353.643382,3.861419,0.03,NO
2.622931,4956.612881,4.187718,0.04,NO
3.911653,4417.953131,4.151825,0,NO
2.801628,5409.052727,4.051594,0.046667,NO
0.554365,4408.081812,4.06648,0.04,NO
0.561218,4936.098098,4.075472,0.028,NO
3.898727,5641.352947,4.10732,0.034,NO
0.549844,5354.204815,4.020024,0.03875,NO
1.74968,5866.453074,3.994306,0.033333,NO
3.911961,5734.020576,4.069005,0.032857,YES
1.666942,5665.96798,4.091736,0.03,NO
0.576014,4662.126898,3.918752,0.04,NO
3.777369,4841.954652,4.18692,0.05,NO
0.575376,4173.473769,3.938333,0.04,YES
0.577431,4284.786361,4.195842,0.04,NO
3.627494,4759.379282,4.566247,0.031429,NO
0.561859,4840.932848,4.110747,0.025,NO
0.589639,5232.424695,4.136621,0.034,YES
1.699225,5251.400994,4.070757,0.03,NO
0.578563,5045.045741,4.147478,0.06,NO
3.989436,7293.443521,4.201837,0.035,NO
2.795417,5502.317414,3.998596,0.0475,NO
3.996528,5402.721817,4.138269,0.04,NO
2.791596,5136.711203,4.022339,0.032,NO
1.724315,5332.06981,4.187717,0.04,YES
2.829788,5422.604345,4.223399,0.03,NO
3.890806,5176.714571,4.067714,0.0375,NO
2.927932,6311.749408,4.151514,0.036,NO
1.728514,5482.910292,4.087027,0.044,NO
1.676003,5373.73236,4.135855,0.04,NO
4.353221,6153.6166,4.115601,0.035,NO
3.627494,4759.379282,4.566247,0.031429,NO
0.561859,4840.932848,4.110747,0.025,NO
0.589639,5232.424695,4.136621,0.034,YES
1.699225,5251.400994,4.070757,0.03,NO
0.578563,5045.045741,4.147478,0.06,NO
3.989436,7293.443521,4.201837,0.035,NO
2.795417,5502.317414,3.998596,0.0475,NO
3.996528,5402.721817,4.138269,0.04,NO
2.791596,5136.711203,4.022339,0.032,NO
1.724315,5332.06981,4.187717,0.04,YES
2.829788,5422.604345,4.223399,0.03,NO
3.890806,5176.714571,4.067714,0.0375,NO
2.927932,6311.749408,4.151514,0.036,NO
1.728514,5482.910292,4.087027,0.044,NO
1.676003,5373.73236,4.135855,0.04,NO
4.353221,6153.6166,4.115601,0.035,NO
3.653169,4786.748937,4.052874,0.045,NO
0.580705,5148.714524,4.002989,0.038571,NO
2.85519,6089.520239,4.012869,0.045,NO
0.566159,5276.827597,4.020293,0.035,NO
0.578566,5392.267947,3.97582,0.045,YES
2.861773,5816.308554,4.158194,0.04125,NO
0.572692,5292.500626,3.989223,0.043333,NO
0.58018,5278.985484,3.994357,0.045,YES
2.780003,5503.989937,4.037611,0.028,NO
0.57867,5022.849719,4.015631,0.036,YES
2.872469,5108.281067,4.02109,0.025,NO
0.583705,5708.215925,3.989623,0.047143,NO
1.91965,6414.332011,4.031937,0.036667,NO
3.87223,6005.277388,4.546658,0.023333,NO
3.999984,5847.68935,4.764825,0.053333,NO
4.042689,7802.940282,4.738219,0.035,NO
3.979014,5166.52735,4.740733,0.036667,NO
4.005391,5057.002938,4.710635,0.03,NO
4.039818,8316.883267,4.485269,0.0425,NO
3.997388,6511.47853,4.618732,0.023333,YES
4.704682,4779.113123,4.590239,0.046667,NO
3.988912,6489.81805,4.697339,0.0375,NO
4.007898,7554.902067,4.619081,0.056667,NO
3.999606,4692.957641,4.532755,0.036667,NO
3.994121,6474.75853,4.754854,0.043333,NO
4.022712,7795.926814,4.622927,0.04,YES
4.002567,4556.584277,4.757935,0.033333,YES
3.508592,5185.522052,4.526,0.046667,NO
4.60058,4830.321485,4.425756,0.03875,NO
4.141114,5300.119381,4.082058,0.038571,NO
1.89174,5294.712874,4.120001,0.033333,NO
4.008275,6071.821775,4.127798,0.03,NO
1.722705,4474.925715,4.276428,0.046,NO
4.143348,5254.977957,4.24138,0.038333,YES
3.825729,4080.912739,4.270567,0.042,YES
3.999379,7419.802405,4.333661,0.04375,YES
4.149964,5563.583751,4.197155,0.031429,NO
1.756866,5395.022685,4.234422,0.036667,YES
4.024611,5679.651364,4.210566,0.031667,YES
2.773305,5158.820119,4.361962,0.05,YES
4.099642,4959.781555,4.360169,0.04,NO
2.598917,3475.895714,4.000002,0.024,NO
2.859856,3950.951915,4.07875,0.04,YES
0.586084,4248.135986,4.110367,0.043333,YES
0.572154,4282.102434,4.014782,0.02875,NO
2.939558,5200.688351,3.923923,0.023,NO
0.579321,4259.925351,4.04625,0.035,NO
2.853822,5478.094361,4.088934,0.028571,NO
1.720653,4355.478613,4.003761,0.024,NO
1.67126,4064.30341,4.079121,0.03375,NO
2.863043,4679.906954,4.017254,0.02375,NO
2.857711,4794.464648,4.068714,0.035,NO
2.720338,5690.625937,3.991294,0.036,NO
0.633985,5739.457734,4.454659,0.036,NO
4.861746,7583.422677,4.535169,0.036667,NO
4.712621,7843.5873,4.48387,0.0375,NO
2.861235,6804.065584,4.031084,0.03,NO
5.216047,6948.365252,4.675331,0.044,YES
4.983444,9195.714008,4.491722,0.036667,NO
4.978329,10304.59264,4.490767,0.0375,NO
3.857437,6013.999128,4.265066,0.03,NO
5.116287,10034.43859,4.400932,0.04,NO
5.004526,11982.27216,4.671817,0.04,NO
4.956516,10289.77549,4.649066,0.03,NO
0.598286,5324.52098,4.123561,0.0275,NO
5.140226,8862.061068,4.332738,0.04,YES
4.65863,10894.55495,4.169922,0.033333,NO
3.078461,7773.066865,3.908654,0.032857,NO
4.002845,5787.813353,4.143147,0.03,NO
0.597241,5682.651015,4.101192,0.027,NO
0.586605,5208.002139,4.005853,0.038,NO
5.009135,5314.004349,4.222154,0.03,NO
3.982657,5698.867457,4.16501,0.027778,NO
3.755862,5742.664572,4.17066,0.03,NO
5.05842,6205.940564,4.233082,0.04,NO
3.8209,5586.941053,4.243316,0.026667,NO
1.666277,5273.38723,4.105761,0.028571,NO
3.995451,7204.299828,4.171813,0.028571,NO
0.577925,5608.884932,4.015614,0.034286,NO
2.855016,5965.540709,4.083407,0.036,NO
3.06077,5936.561928,4.064954,0.036667,NO
3.11128,7441.325834,4.082056,0.033333,NO
1.730202,5316.863408,4.124189,0.036667,NO
3.996597,5541.987322,4.094955,0.035714,NO
3.999905,5927.312628,4.049504,0.031429,NO
1.723401,6157.277671,4.100155,0.034,NO
3.997429,6330.237898,4.061839,0.033333,NO
3.897671,5458.175113,4.065642,0.036667,NO
1.723885,5167.599596,4.0176,0.0325,NO
0.587824,5488.206164,3.97686,0.05,NO
2.840249,5768.03338,4.124394,0.045,NO
4.075216,6366.510863,4.052414,0.038,NO
2.862834,5965.728402,4.088756,0.038571,NO
0.578299,5481.634367,4.073782,0.035,YES
3.989896,5725.500304,4.120301,0.0425,NO
1.976064,6012.354892,4.00696,0.036,NO
2.652881,3817.236565,4.210953,0.035,NO
2.975014,4829.929356,4.110884,0.033333,YES
1.777512,4032.154346,4.309001,0.027143,NO
1.670307,3254.585873,4.449186,0.013333,NO
0.618211,3256.030371,4.12507,0.035,NO
1.768496,3474.995195,4.219384,0.03,NO
3.896724,4374.170385,4.096826,0.025,NO
3.658109,5542.489736,4.004719,0.02,NO
3.908347,4150.389836,4.107495,0.02,NO
4.000626,4805.499616,4.068498,0.03,NO
2.945829,4378.474468,4.085456,0.0225,NO
0.640992,4426.024429,4.094602,0.04,NO
3.761147,6582.350786,4.108821,0.035,NO
3.99668,4993.313743,4.153701,0.035,YES
3.938701,5907.188302,4.08543,0,NO
3.934677,31793.94574,4.368081,0.035,YES
3.078747,5271.987766,3.996095,0.031111,NO
4.06657,5702.068426,4.04844,0.025556,NO
3.822042,5489.427528,4.022886,0.038333,NO
2.873584,5220.548193,4.09274,0.032,NO
1.722271,5367.002284,4.096175,0.042,NO
2.725637,4733.959191,3.876629,0.04,NO
3.974327,6718.40949,4.094633,0.038333,NO
4.000326,5906.548981,4.082626,0.031429,NO
0.565493,4741.93115,4.052601,0.024167,NO
1.663885,4764.144009,4.131768,0.03,NO
3.894993,4938.28874,3.987332,0.037143,NO
3.973638,5857.713938,3.994924,0.041667,NO
0.592278,5668.890367,3.976214,0.035,NO
0.704963,6700.058691,4.009911,0.04,NO
4.258953,6963.198199,4.095388,0.0375,NO
2.858683,3479.481176,4.234902,0.035,NO
4.002673,5335.0117,4.190296,0.035714,NO
3.966696,5247.848335,4.226447,0.041667,NO
2.962985,3827.597169,4.328702,0.036667,NO
4.025976,5001.213712,4.226676,0.035,NO
4.893279,4020.508548,4.236253,0.042857,NO
4.167054,3325.837709,4.227952,0.04,YES
0.735705,1822.007193,4.437961,0.033333,NO
2.867692,5954.904087,4.174316,0.043333,NO
3.999192,4937.009181,4.098147,0.04,YES
0.589352,3650.087435,4.174098,0.033333,YES
3.659374,5274.38874,3.95025,0.05,NO
3.890601,5861.215913,4.483979,0.05,NO
1.729058,6879.599351,3.93846,0.025,YES
2.886662,5954.068579,4.142883,0.043333,NO
3.82669,7268.254985,4.52691,0.043333,NO
1.731076,5210.772208,4.146281,0.03,NO
2.7455,5606.321428,4.153173,0.04,NO
1.783659,6090.753173,4.043405,0.035,YES
3.831364,6587.991389,4.180764,0.07,NO
2.873315,7200.690054,4.102617,0.04,NO
0.585639,4371.022287,4.081248,0.027143,NO
0.991199,6650.484009,3.953885,0.03,NO
3.663576,3761.86084,3.977925,0.04,NO
2.988837,3963.520606,4.138898,0.045,NO
2.860113,4783.430691,4.089689,0.04,YES
3.914428,3999.615119,3.989605,0.035,NO
0.601746,4392.677896,4.000902,0.036,NO
2.869464,4400.766285,4.0902,0.0475,NO
2.784698,4381.177018,4.004597,0.026667,NO
2.872425,4431.616042,4.153992,0.043333,NO
3.867913,4257.718022,4.051181,0.04,NO
3.998117,4043.683346,4.112859,0.03,NO
2.878088,3688.141486,4.002257,0.025,NO
3.917835,3642.986417,4.016524,0.022,NO
3.702592,5882.277545,4.209105,0.038,NO
2.829347,5737.650184,4.286553,0.026667,NO
4.004666,5586.160524,4.146859,0.03125,NO
2.84367,5877.897944,4.185277,0.031429,NO
3.994886,5984.396733,4.125235,0.034286,NO
1.744187,5531.995173,4.189516,0.035,YES
2.794885,5967.616422,4.104274,0.04,YES
2.82834,5954.45131,4.303202,0.041667,NO
3.864718,6247.848164,4.189969,0.03125,NO
2.873043,6483.699503,4.18437,0.035,NO
4.220173,6253.490159,4.037737,0.033333,NO
1.677064,5529.587866,4.179404,0.034286,NO
2.726783,6470.561627,4.188558,0.0225,NO
3.91408,5420.192789,4.544854,0.037143,NO
4.162178,7324.803902,4.188439,0.03,YES
2.787424,6571.883642,4.498232,0.035,NO
3.998537,6723.688829,4.293871,0.02875,NO
3.967899,6988.671266,4.603385,0.024286,NO
2.759289,5730.551143,4.590398,0.034,NO
2.920295,7581.285349,4.199156,0.026667,NO
1.696392,5205.270938,4.425143,0.02625,NO
3.851349,8521.726976,4.469577,0.038571,NO
2.819653,7749.219259,4.687763,0.028571,NO
2.767731,7335.788298,4.480507,0.03,YES
3.99711,7991.645858,4.554656,0.028571,NO
5.003897,5983.945322,4.495615,0.0325,NO
2.182184,6555.57283,4.364389,0.031667,NO
0.568504,3942.820434,4.38553,0.036667,NO
2.81235,4515.32567,4.258874,0.03,NO
