@relation spectral_mfcc_Mean_12

@attribute spectral_mfcc_Mean_12 {NO,YES}
@attribute spectral_mfcc_Mean_13 numeric
@attribute spectral_mfcc_Std_1 numeric
@attribute spectral_mfcc_Std_2 numeric
@attribute spectral_mfcc_Std_3 numeric

@data
NO,-0.021515,0.770673,0.556085,0.782519
NO,-0.026606,0.268881,0.138238,0.140945
NO,0.139152,0.247422,0.19677,0.348365
NO,0.0264,0.407016,0.221909,0.231531
YES,-0.242507,0.169761,0.213729,0.147867
NO,-0.230754,0.236674,0.356777,0.300458
NO,-0.126732,0.412882,0.203045,0.346893
NO,-0.115622,0.162608,0.159445,0.156304
NO,-0.130842,0.2954,0.138899,0.139438
NO,-0.017656,0.228644,0.138953,0.170542
NO,-0.051843,0.154279,0.137218,0.151665
NO,0.022912,0.448981,0.158166,0.244389
NO,0.022213,0.61057,0.160726,0.228595
NO,-0.462218,0.382945,0.12466,0.252541
NO,-0.153662,0.623835,0.153952,0.218339
NO,0.191797,0.406349,0.190874,0.191632
NO,0.216911,0.283363,0.099489,0.124293
NO,0.152804,0.30539,0.159904,0.123115
NO,0.106284,0.230935,0.13124,0.161998
NO,0.132366,0.277591,0.16846,0.165474
NO,0.159806,0.224427,0.168521,0.151616
NO,0.164509,0.194231,0.213688,0.150661
NO,0.292957,0.486227,0.177513,0.163849
NO,0.231379,0.420665,0.163681,0.130711
NO,0.276753,0.498378,0.212505,0.179811
NO,0.15657,0.339331,0.185396,0.164046
NO,-0.038295,0.635638,0.319062,0.200711
NO,-0.247615,0.245361,0.264384,0.215871
NO,-0.040525,0.433136,0.362394,0.252865
NO,-0.127326,0.240573,0.223801,0.21803
NO,-0.239727,0.245892,0.189829,0.209191
NO,-0.240307,0.358901,0.214347,0.198677
NO,-0.25752,0.197845,0.224935,0.101281
NO,-0.085214,0.361423,0.287987,0.137184
NO,-0.073888,0.258605,0.294379,0.162766
NO,-0.065685,0.309222,0.258503,0.279403
NO,0.078073,0.341328,0.278282,0.296111
NO,-0.067374,0.294254,0.212813,0.138527
NO,0.25496,0.376954,0.287784,0.163084
NO,-0.158728,0.136496,0.258388,0.154349
NO,-0.336735,0.316587,0.218347,0.184875
NO,-0.236924,0.373727,0.2534,0.201394
NO,-0.038295,0.635638,0.319062,0.200711
NO,-0.247615,0.245361,0.264384,0.215871
NO,-0.040525,0.433136,0.362394,0.252865
NO,-0.127326,0.240573,0.223801,0.21803
NO,-0.239727,0.245892,0.189829,0.209191
NO,-0.240307,0.358901,0.214347,0.198677
NO,-0.25752,0.197845,0.224935,0.101281
NO,-0.085214,0.361423,0.287987,0.137184
NO,-0.073888,0.258605,0.294379,0.162766
NO,-0.065685,0.309222,0.258503,0.279403
NO,0.078073,0.341328,0.278282,0.296111
NO,-0.067374,0.294254,0.212813,0.138527
NO,0.25496,0.376954,0.287784,0.163084
NO,-0.158728,0.136496,0.258388,0.154349
NO,-0.336735,0.316587,0.218347,0.184875
NO,-0.236924,0.373727,0.2534,0.201394
YES,-0.153083,0.339304,0.280774,0.162055
YES,0.126883,0.22099,0.2032,0.155172
YES,-0.303155,0.219535,0.16323,0.153434
NO,-0.378151,0.263361,0.169827,0.164396
NO,-0.4075,0.202875,0.244684,0.190386
YES,-0.308167,0.205699,0.266521,0.17386
YES,0.044737,0.383331,0.193998,0.143284
YES,-0.129986,0.138898,0.192919,0.132618
YES,-0.091665,0.317855,0.291907,0.190675
YES,0.180227,0.138863,0.231967,0.127152
YES,0.076531,0.193757,0.176395,0.148697
NO,-0.14117,0.214009,0.156765,0.132602
NO,-0.11023,0.166519,0.150552,0.115455
NO,-0.242832,0.986946,0.533554,0.235681
NO,0.001399,1.027071,0.640544,0.313408
NO,-0.006968,1.211471,0.651869,0.252963
NO,0.061571,0.962598,0.516898,0.227037
NO,0.033254,1.008644,0.577512,0.254888
NO,-0.03096,1.15654,0.544112,0.267402
NO,0.177488,0.812052,0.551258,0.278458
YES,0.092494,1.091825,0.645836,0.284199
YES,0.134987,1.003757,0.560783,0.308097
NO,-0.153795,0.992717,0.566728,0.283811
NO,-0.244082,1.087857,0.558848,0.333756
NO,-0.034647,0.947394,0.623381,0.299931
NO,-0.030256,1.28118,0.625887,0.291719
NO,0.112083,1.044578,0.532705,0.285372
NO,-0.084733,0.82232,0.483049,0.291568
NO,-0.027729,0.380489,0.230192,0.390725
NO,-0.234646,0.256976,0.476379,0.309925
YES,0.1171,0.240854,0.253314,0.407187
YES,0.509445,0.287477,0.323552,0.261452
YES,0.449697,0.231708,0.380786,0.385808
YES,0.145832,0.63457,0.362022,0.297264
YES,0.35015,0.504751,0.287091,0.285892
