@relation spectral_mfcc_Mean_13

@attribute spectral_mfcc_Mean_12 numeric
@attribute spectral_mfcc_Mean_13 {NO,YES}
@attribute spectral_mfcc_Std_1 numeric
@attribute spectral_mfcc_Std_2 numeric
@attribute spectral_mfcc_Std_3 numeric

@data
0.086104,NO,0.770673,0.556085,0.782519
-0.40411,YES,0.268881,0.138238,0.140945
-0.483715,NO,0.247422,0.19677,0.348365
-0.055309,NO,0.407016,0.221909,0.231531
0.109116,YES,0.169761,0.213729,0.147867
0.041524,YES,0.236674,0.356777,0.300458
-0.005203,YES,0.412882,0.203045,0.346893
-0.082727,YES,0.162608,0.159445,0.156304
-0.100455,YES,0.2954,0.138899,0.139438
-0.097285,NO,0.228644,0.138953,0.170542
-0.124638,YES,0.154279,0.137218,0.151665
-0.135095,NO,0.448981,0.158166,0.244389
-0.210003,NO,0.61057,0.160726,0.228595
-0.410032,YES,0.382945,0.12466,0.252541
-0.127236,YES,0.623835,0.153952,0.218339
-0.051959,NO,0.406349,0.190874,0.191632
-0.126641,NO,0.283363,0.099489,0.124293
-0.197101,NO,0.30539,0.159904,0.123115
-0.263007,NO,0.230935,0.13124,0.161998
-0.180239,NO,0.277591,0.16846,0.165474
-0.068362,NO,0.224427,0.168521,0.151616
-0.098314,NO,0.194231,0.213688,0.150661
-0.089206,NO,0.486227,0.177513,0.163849
-0.109585,NO,0.420665,0.163681,0.130711
-0.110681,NO,0.498378,0.212505,0.179811
-0.103198,NO,0.339331,0.185396,0.164046
0.000444,YES,0.635638,0.319062,0.200711
-0.240166,YES,0.245361,0.264384,0.215871
-0.072538,YES,0.433136,0.362394,0.252865
-0.257175,YES,0.240573,0.223801,0.21803
-0.439406,YES,0.245892,0.189829,0.209191
-0.383595,YES,0.358901,0.214347,0.198677
-0.327392,YES,0.197845,0.224935,0.101281
-0.210478,YES,0.361423,0.287987,0.137184
-0.262622,YES,0.258605,0.294379,0.162766
-0.145566,YES,0.309222,0.258503,0.279403
0.011896,NO,0.341328,0.278282,0.296111
-0.145314,YES,0.294254,0.212813,0.138527
0.08117,NO,0.376954,0.287784,0.163084
-0.415261,YES,0.136496,0.258388,0.154349
-0.419363,YES,0.316587,0.218347,0.184875
-0.363932,YES,0.373727,0.2534,0.201394
0.000444,YES,0.635638,0.319062,0.200711
-0.240166,YES,0.245361,0.264384,0.215871
-0.072538,YES,0.433136,0.362394,0.252865
-0.257175,YES,0.240573,0.223801,0.21803
-0.439406,YES,0.245892,0.189829,0.209191
-0.383595,YES,0.358901,0.214347,0.198677
-0.327392,YES,0.197845,0.224935,0.101281
-0.210478,YES,0.361423,0.287987,0.137184
-0.262622,YES,0.258605,0.294379,0.162766
-0.145566,YES,0.309222,0.258503,0.279403
0.011896,NO,0.341328,0.278282,0.296111
-0.145314,YES,0.294254,0.212813,0.138527
0.08117,NO,0.376954,0.287784,0.163084
-0.415261,YES,0.136496,0.258388,0.154349
-0.419363,YES,0.316587,0.218347,0.184875
-0.363932,YES,0.373727,0.2534,0.201394
0.669754,YES,0.339304,0.280774,0.162055
0.315028,NO,0.22099,0.2032,0.155172
0.154231,YES,0.219535,0.16323,0.153434
-0.205138,YES,0.263361,0.169827,0.164396
-0.167873,YES,0.202875,0.244684,0.190386
0.163284,YES,0.205699,0.266521,0.17386
0.294448,NO,0.383331,0.193998,0.143284
0.464657,YES,0.138898,0.192919,0.132618
0.126229,YES,0.317855,0.291907,0.190675
0.393879,NO,0.138863,0.231967,0.127152
0.399224,NO,0.193757,0.176395,0.148697
0.045825,YES,0.214009,0.156765,0.132602
-0.116734,YES,0.166519,0.150552,0.115455
-0.232279,YES,0.986946,0.533554,0.235681
-0.126615,NO,1.027071,0.640544,0.313408
-0.003258,NO,1.211471,0.651869,0.252963
0.034056,NO,0.962598,0.516898,0.227037
-0.103251,NO,1.008644,0.577512,0.254888
-0.117824,YES,1.15654,0.544112,0.267402
0.012655,NO,0.812052,0.551258,0.278458
0.264532,NO,1.091825,0.645836,0.284199
0.14679,NO,1.003757,0.560783,0.308097
-0.103713,YES,0.992717,0.566728,0.283811
-0.26916,YES,1.087857,0.558848,0.333756
-0.196813,YES,0.947394,0.623381,0.299931
-0.022285,YES,1.28118,0.625887,0.291719
0.02413,NO,1.044578,0.532705,0.285372
-0.112095,YES,0.82232,0.483049,0.291568
-0.062044,YES,0.380489,0.230192,0.390725
-0.040032,YES,0.256976,0.476379,0.309925
0.525437,NO,0.240854,0.253314,0.407187
0.481632,NO,0.287477,0.323552,0.261452
0.259139,NO,0.231708,0.380786,0.385808
0.528689,NO,0.63457,0.362022,0.297264
0.523468,NO,0.504751,0.287091,0.285892
0.30366,NO,0.366086,0.328747,0.324851
0.231411,NO,0.276117,0.200575,0.271987
0.455312,NO,0.440577,0.316452,0.380368
0.152505,NO,0.312916,0.313148,0.32016
0.208405,NO,0.426908,0.296539,0.361932
0.022895,NO,0.613544,0.28035,0.278643
-0.245075,YES,0.57643,0.21149,0.167082
-0.261009,YES,0.195828,0.172406,0.109603
-0.675588,YES,0.336835,0.170905,0.130805
-0.574443,YES,0.233376,0.14691,0.165035
-0.209522,NO,0.229437,0.154175,0.205554
-0.108638,NO,0.261977,0.176423,0.217031
-0.22976,YES,0.343522,0.155438,0.188886
-0.243416,YES,0.19997,0.138275,0.282576
-0.260656,YES,0.187304,0.169402,0.237367
-0.271467,NO,0.138138,0.164886,0.204234
-0.213605,YES,0.157439,0.131266,0.172737
0.063139,YES,0.674078,0.250913,0.296733
0.090529,NO,0.947345,0.225544,0.299558
0.035429,NO,0.941266,0.718606,0.677144
0.017523,NO,0.933145,0.576646,0.387972
0.068652,NO,0.610107,0.235499,0.270133
0.060348,NO,0.891698,0.215272,0.330772
0.071513,NO,0.788668,0.690039,0.616879
0.034632,NO,0.933771,0.682328,0.367907
0.029024,YES,0.506311,0.250251,0.292394
0.085821,NO,0.974219,0.207573,0.368214
0.053919,NO,0.935704,0.624575,0.606774
0.017877,NO,0.947442,0.596017,0.384054
0.023928,NO,0.512002,0.288852,0.184818
0.067166,NO,0.960056,0.296382,0.371422
0.035698,NO,0.754686,0.552613,0.350342
-0.020747,YES,0.43111,0.421269,0.288361
-0.012716,NO,0.443648,0.291292,0.1815
-0.034964,YES,0.353329,0.25283,0.197506
-0.231158,YES,0.260476,0.159674,0.188899
-0.084758,YES,0.299323,0.171599,0.171949
0.013863,NO,0.338375,0.245862,0.141758
-0.026916,NO,0.343102,0.257648,0.158339
0.029626,NO,0.339854,0.252876,0.205131
-0.106996,YES,0.234687,0.212395,0.195484
-0.154018,YES,0.324194,0.174479,0.151007
-0.084899,YES,0.45106,0.313675,0.165562
-0.24825,YES,0.255311,0.141088,0.20203
-0.106666,YES,0.22197,0.214343,0.158515
-0.130293,YES,0.308772,0.204997,0.110354
0.087123,NO,0.760777,0.339103,0.192706
-0.023737,NO,0.365399,0.234165,0.173346
-0.027127,NO,0.256837,0.196869,0.181787
0.024905,NO,0.19221,0.176367,0.154257
-0.044785,NO,0.326259,0.273102,0.172295
-0.198629,YES,0.24391,0.203545,0.163825
-0.296706,YES,0.215352,0.187346,0.161624
-0.364053,YES,0.209299,0.203874,0.120755
-0.260896,YES,0.321981,0.190703,0.18679
-0.123298,NO,0.264006,0.288526,0.175813
-0.131199,NO,0.240534,0.205089,0.17009
-0.06782,YES,0.218085,0.209682,0.160165
-0.199572,YES,0.275131,0.195657,0.149681
-0.124565,YES,0.355928,0.205713,0.127753
-0.255175,YES,0.40656,0.271404,0.151575
-0.02204,NO,0.635765,0.552721,0.117984
0.060625,NO,0.71023,0.536479,0.339542
0.006191,NO,0.604263,0.466597,0.27105
-0.334889,NO,0.521241,0.180116,0.143249
-0.260519,NO,0.480334,0.164418,0.24956
-0.367325,NO,0.505678,0.280516,0.099768
-0.768858,NO,0.466209,0.170732,0.137761
-0.891792,NO,0.419034,0.156787,0.136402
-0.739732,NO,0.532641,0.19979,0.171821
-0.73948,NO,0.518724,0.543298,0.265521
-0.470077,NO,0.437267,0.30446,0.180421
-0.829326,NO,0.556974,0.401428,0.188465
-0.659486,NO,0.538557,0.552666,0.372431
-0.409694,YES,0.542159,0.352581,0.37557
-0.460544,YES,0.454542,0.287168,0.105421
0.127342,YES,2.288817,0.670278,0.682643
0.248763,YES,0.376305,0.279264,0.246678
0.20146,YES,0.346303,0.211699,0.285837
0.058385,YES,0.310278,0.285115,0.404007
0.273973,NO,0.331393,0.340873,0.264595
0.058135,NO,0.339689,0.289638,0.234493
0.448684,YES,0.448677,0.301724,0.401529
0.31585,YES,0.504211,0.283498,0.333963
0.195374,NO,0.292719,0.308271,0.371051
0.177403,YES,0.274516,0.272314,0.410314
0.119338,YES,0.361041,0.2791,0.347207
0.318062,NO,0.284917,0.246596,0.26458
0.195234,NO,0.877219,0.467824,0.19503
0.28978,YES,0.347533,0.239364,0.330942
0.108759,YES,0.273151,0.268445,0.167791
0.231281,NO,0.574052,1.128225,0.326352
0.394508,NO,0.475236,0.507596,0.268694
0.115282,NO,0.383928,0.298,0.17184
-0.139388,NO,0.357352,0.250141,0.188309
0.317755,NO,0.328699,0.473195,0.256599
0.339611,NO,0.363714,0.366197,0.15233
-0.03816,NO,0.335491,0.223869,0.254283
0.004587,NO,0.450041,1.07089,0.530868
0.256486,NO,0.376253,0.112415,0.128522
0.304288,NO,0.276125,0.319756,0.137663
0.320161,NO,0.447815,0.247243,0.221865
-0.141195,NO,0.304091,0.251842,0.277524
0.01843,NO,0.472588,0.567288,0.229253
0.079858,NO,0.518572,0.385126,0.344155
0.027531,NO,0.484395,0.479835,0.241013
0.102436,NO,0.311527,0.351117,0.331488
-0.015843,YES,0.439268,0.348223,0.243694
-0.024561,NO,0.303803,0.507487,0.216643
0.030525,NO,0.378886,0.553271,0.271854
0.022964,NO,0.521388,0.377895,0.270686
0.062614,NO,0.470322,0.336933,0.229916
0.100552,NO,0.335861,0.309992,0.324448
0.24814,NO,0.191472,0.327966,0.406998
0.252723,YES,0.235328,0.273316,0.207324
-0.204428,NO,0.368135,0.46448,0.135895
-0.783524,YES,0.487911,0.300164,0.173236
-0.538009,YES,0.513909,0.280714,0.230925
0.041098,NO,0.391289,0.198891,0.249351
0.00991,NO,0.437183,0.3932,0.377344
-0.758873,YES,0.389653,0.192137,0.174525
-0.43509,YES,0.29004,0.420245,0.204902
-0.285482,NO,0.413788,0.224209,0.137306
-0.017416,NO,0.350104,0.473438,0.184262
-0.058908,NO,0.366842,0.397017,0.176324
0.136142,NO,0.475529,0.165148,0.225744
0.168882,NO,0.357633,0.115262,0.100293
0.16932,NO,0.615477,0.368997,0.274338
0.126327,YES,0.751411,0.290393,0.260631
0.176852,YES,0.377612,0.235969,0.150673
0.081463,YES,0.52402,0.525868,0.240681
-0.054279,YES,0.513019,0.358709,0.162441
0.022565,YES,0.485343,0.29844,0.205294
-0.013773,YES,0.647996,0.296816,0.193931
0.036861,YES,0.769214,0.341639,0.135524
0.229172,YES,0.532622,0.242458,0.231202
0.136178,YES,0.471417,0.527116,0.259579
0.010305,YES,0.454584,0.34417,0.194564
0.026365,YES,0.375287,0.255941,0.201879
0.011443,NO,0.635418,0.463325,0.352977
0.139461,NO,0.620372,0.546278,0.308105
0.005022,NO,0.517907,0.438685,0.302291
-0.005376,NO,0.64971,0.393084,0.269363
0.214369,NO,0.57372,0.481885,0.332751
0.287214,NO,0.664008,0.488596,0.43165
0.192227,NO,0.605789,0.818035,0.376001
-0.050661,YES,0.694569,0.393044,0.340964
-0.015699,NO,0.675449,0.410795,0.306525
0.008031,YES,0.683237,0.438383,0.414963
0.153215,NO,0.685788,0.644227,0.259037
-0.0225,NO,0.489423,0.301535,0.308937
0.004824,NO,0.684785,0.396529,0.293524
0.255624,NO,0.630443,0.508369,0.314352
0.310495,NO,0.716974,0.451064,0.507226
0.062734,NO,0.803037,0.351705,0.155001
0.085437,NO,0.593691,0.329705,0.226414
0.066361,NO,0.552606,0.373857,0.203559
0.025454,NO,0.544833,0.354164,0.148347
-0.029789,YES,0.729151,0.474516,0.205037
-0.016587,NO,0.784236,0.395129,0.180103
-0.093264,NO,0.727171,0.385186,0.205902
-0.040441,NO,0.660717,0.348654,0.227706
-0.019338,NO,0.631329,0.393961,0.194057
0.057025,NO,0.374112,0.352688,0.201115
-0.001169,NO,0.609364,0.434601,0.151612
0.024285,NO,0.602477,0.292603,0.205691
0.094823,NO,0.550786,0.325813,0.232087
0.020654,NO,0.501533,0.289931,0.191037
0.019829,NO,0.475764,0.23051,0.220411
-0.033956,NO,0.30628,0.407336,0.312003
0.078032,NO,0.322982,0.242782,0.24418
-0.011815,NO,0.409895,0.18434,0.249929
0.03269,NO,0.408742,0.365162,0.346347
0.060405,NO,0.287316,0.255359,0.250286
0.104832,NO,0.481009,0.501309,0.342476
0.000918,NO,0.417617,0.332192,0.374972
-0.02665,NO,0.359671,0.259536,0.259668
0.07888,NO,0.382861,0.186815,0.268545
0.010221,NO,0.359653,0.313036,0.34588
0.025811,NO,0.425161,0.355312,0.335246
0.059406,NO,0.348934,0.534937,0.279078
-0.260085,YES,0.931229,0.463373,0.256258
-0.379949,YES,0.426795,0.432272,0.150461
-0.492178,YES,0.395796,0.346043,0.177706
-0.365276,YES,0.434259,0.363402,0.154444
-0.439924,YES,0.352716,0.403904,0.096282
-0.148876,NO,0.278835,0.313718,0.294031
-0.440599,NO,0.410941,0.263069,0.144346
-0.168037,NO,0.41586,0.212746,0.117348
0.246501,YES,0.552428,0.312263,0.137317
0.287283,YES,0.209646,0.602855,0.207306
-0.152966,YES,0.342171,0.18308,0.099856
-0.293216,YES,0.482441,0.420753,0.150385
-0.197469,YES,0.437287,0.342768,0.166262
0.262375,YES,0.319427,0.342629,0.165081
0.603368,NO,0.348756,0.211527,0.097266
0.248311,NO,0.977749,0.33887,0.19214
0.19573,NO,0.796604,0.344128,0.137852
0.258048,NO,0.871489,0.333123,0.18715
0.186672,NO,0.837532,0.319586,0.184769
0.256452,NO,1.041277,0.269916,0.173888
0.228653,NO,1.05013,0.352642,0.18749
0.259731,NO,0.748515,0.350195,0.195648
0.248448,NO,0.892994,0.32593,0.203798
0.162201,NO,0.827169,0.375443,0.187735
0.25,NO,0.620953,0.274907,0.149586
0.210161,NO,0.859759,0.307535,0.196945
0.285009,NO,0.830415,0.308078,0.194901
0.167263,NO,0.808908,0.34851,0.189247
0.201353,NO,1.118932,0.419961,0.204294
0.255685,NO,0.439258,0.238467,0.197607
-0.102342,YES,0.252882,0.238457,0.207669
0.120028,YES,0.472388,0.278863,0.269863
0.008057,YES,0.245061,0.204566,0.175309
-0.065789,YES,0.188902,0.145418,0.249655
0.068465,YES,0.16253,0.153259,0.133322
0.023242,YES,0.205614,0.178691,0.210369
-0.028271,NO,0.201391,0.141411,0.196819
-0.176663,YES,0.326358,0.346936,0.294706
0.071221,YES,0.436366,0.337994,0.22482
0.184142,YES,0.402585,0.204882,0.152541
-0.057484,YES,0.190517,0.13637,0.210665
-0.037578,YES,0.174581,0.165318,0.216217
0.031372,YES,0.201021,0.14398,0.162623
0.126259,YES,0.203932,0.244767,0.188971
-0.085647,YES,0.212869,0.163822,0.263227
0.027715,NO,0.926015,0.292125,0.19754
0.188976,NO,0.646597,0.189534,0.190622
-0.102175,NO,0.504831,0.340817,0.190308
-0.010711,NO,0.659704,0.187518,0.14089
0.063428,NO,0.564784,0.337116,0.259669
-0.011087,NO,0.614301,0.363415,0.212748
-0.179698,NO,0.710113,0.223374,0.159834
0.072241,NO,0.551043,0.351846,0.242228
0.373736,NO,0.63216,0.341113,0.183244
0.224054,NO,0.581103,0.198872,0.146016
0.318398,NO,0.563278,0.323628,0.206103
0.037065,NO,0.704398,0.278154,0.153455
0.162787,NO,0.821394,0.15652,0.166129
0.217302,NO,0.64939,0.321646,0.266459
0.108247,NO,0.925313,0.398854,0.355643
-0.117201,NO,0.947078,0.296825,0.348226
0.191079,NO,0.859094,0.40761,0.245456
-0.033215,NO,1.062876,0.411815,0.301275
-0.053156,NO,0.879225,0.443646,0.340366
0.020064,NO,0.738989,0.37385,0.359005
0.117772,NO,0.902621,0.436453,0.340122
0.142061,NO,1.052922,0.482702,0.457004
0.043048,NO,0.918018,0.458813,0.378055
0.02033,NO,0.740453,0.410396,0.326471
0.002045,NO,0.916757,0.564472,0.417689
-0.170452,NO,0.686601,0.389853,0.369045
0.111034,NO,1.027329,0.336761,0.257891
0.000589,YES,0.414092,0.23746,0.28208
-0.168256,YES,0.559312,0.229024,0.240937
0.135872,NO,0.652252,0.447791,0.284872
-0.142427,YES,0.329108,0.285732,0.232349
0.088979,NO,0.379097,0.246937,0.256476
-0.04142,NO,0.600743,0.246664,0.230687
0.063132,YES,0.599925,0.383279,0.285333
-0.103861,YES,0.370063,0.226189,0.16353
0.348588,NO,0.605988,0.31799,0.203479
-0.025965,NO,0.887775,0.299224,0.222895
-0.00776,YES,0.574482,0.267303,0.227319
-0.160141,YES,0.33282,0.236471,0.201264
-0.046315,YES,0.480025,0.28496,0.232199
-0.015773,NO,0.680342,0.350055,0.272983
-0.081036,YES,0.503975,0.310765,0.273283
0.337796,YES,0.675446,1.644339,0.51106
0.53216,YES,1.119135,0.363778,0.336419
0.010098,YES,1.975317,1.238876,0.450519
-0.054182,YES,1.209575,0.38512,0.34101
0.15978,NO,0.749717,0.349211,0.361951
0.161536,YES,0.712964,0.304761,0.358
0.173559,YES,0.822599,0.388193,0.390722
0.190443,YES,0.854833,0.441167,0.396203
-0.08244,YES,0.780619,0.487567,0.288207
0.161515,NO,0.692944,0.296486,0.362751
0.158254,NO,0.63633,0.384737,0.356481
0.167328,YES,0.805755,0.473477,0.388941
0.178452,YES,0.864705,0.503362,0.41855
-0.214753,YES,0.76673,0.429665,0.27144
-0.186697,YES,0.70984,0.305238,0.399059
-0.10424,NO,0.630487,0.346097,0.247228
-0.220422,YES,0.631269,0.295545,0.336667
-0.331822,YES,0.581592,0.272489,0.303387
-0.293685,YES,0.519572,0.319829,0.379374
-0.106909,NO,0.808162,0.273276,0.209399
0.245897,NO,0.725526,0.294649,0.375382
-0.088853,NO,0.637,0.402607,0.307112
-0.095286,NO,0.77568,0.269413,0.324417
-0.179101,NO,0.799523,0.357558,0.31231
-0.129871,NO,0.478909,0.292716,0.339141
0.017905,YES,1.022457,0.257339,0.298837
0.070339,YES,0.269421,0.285229,0.370667
0.013357,YES,0.327271,0.193003,0.241096
-0.201362,YES,0.257164,0.293065,0.239405
-0.083161,YES,0.249485,0.263358,0.291055
-0.161939,YES,0.371764,0.282971,0.160271
0.070373,NO,0.302576,0.458592,0.248599
0.221092,NO,0.32113,0.361699,0.224164
0.265525,NO,0.334045,0.208682,0.190769
0.244068,NO,0.204211,0.38422,0.375529
0.139547,NO,0.341737,0.519869,0.230991
0.175162,NO,0.766372,0.276017,0.178497
0.744927,NO,0.346956,0.37104,0.280799
0.626715,NO,0.372344,0.237152,0.121885
0.674599,NO,0.270659,0.122993,0.181408
0.277035,YES,0.323638,0.145857,0.214462
0.579702,NO,0.381719,0.216258,0.248808
0.824842,NO,0.3989,0.228231,0.170496
-0.094859,NO,0.414614,0.307399,0.253849
-0.664433,YES,0.333737,0.224371,0.122507
-0.310379,YES,0.42561,0.242597,0.141227
0.173257,NO,0.437683,0.263392,0.303185
-0.498597,YES,0.349185,0.269567,0.215243
-0.883979,YES,0.346383,0.188648,0.132418
-0.946808,YES,0.250462,0.265335,0.214407
-0.231998,NO,0.397137,0.256913,0.131864
-0.187808,NO,0.398524,0.261643,0.165857
-0.238477,NO,0.346802,0.16842,0.147647
-0.083531,YES,0.482633,0.274804,0.301758
-0.030406,NO,0.393069,0.284748,0.173101
0.158497,NO,0.268405,0.182504,0.196614
0.169326,YES,0.316533,0.16118,0.211135
-0.024617,YES,0.20951,0.232202,0.237527
-0.109338,YES,0.168968,0.158597,0.175444
0.428769,NO,0.29357,0.186773,0.257523
0.124093,YES,0.463433,0.16086,0.175716
-0.293444,YES,0.190497,0.191805,0.247925
0.012464,YES,0.229565,0.153477,0.194922
-0.096539,YES,0.149979,0.172609,0.109267
-0.056102,YES,0.124243,0.15057,0.157441
0.077174,YES,0.719304,0.399984,0.296246
0.761117,NO,0.353471,0.307435,0.322894
0.954062,NO,0.417271,0.286629,0.166995
0.478103,NO,0.366034,0.340685,0.345319
-0.115762,NO,0.417302,0.307082,0.183925
-0.253847,YES,0.536531,0.269653,0.265829
0.037356,YES,0.750974,0.295426,0.217753
-0.17734,YES,0.420786,0.243176,0.152096
