@relation spectral_mfcc_Std_1

@attribute spectral_mfcc_Mean_12 numeric
@attribute spectral_mfcc_Mean_13 numeric
@attribute spectral_mfcc_Std_1 {NO,YES}
@attribute spectral_mfcc_Std_2 numeric
@attribute spectral_mfcc_Std_3 numeric

@data
0.086104,-0.021515,NO,0.556085,0.782519
-0.40411,-0.026606,NO,0.138238,0.140945
-0.483715,0.139152,NO,0.19677,0.348365
-0.055309,0.0264,NO,0.221909,0.231531
0.109116,-0.242507,NO,0.213729,0.147867
0.041524,-0.230754,NO,0.356777,0.300458
-0.005203,-0.126732,NO,0.203045,0.346893
-0.082727,-0.115622,NO,0.159445,0.156304
-0.100455,-0.130842,NO,0.138899,0.139438
-0.097285,-0.017656,NO,0.138953,0.170542
-0.124638,-0.051843,NO,0.137218,0.151665
-0.135095,0.022912,NO,0.158166,0.244389
-0.210003,0.022213,NO,0.160726,0.228595
-0.410032,-0.462218,NO,0.12466,0.252541
-0.127236,-0.153662,NO,0.153952,0.218339
-0.051959,0.191797,NO,0.190874,0.191632
-0.126641,0.216911,NO,0.099489,0.124293
-0.197101,0.152804,NO,0.159904,0.123115
-0.263007,0.106284,NO,0.13124,0.161998
-0.180239,0.132366,NO,0.16846,0.165474
-0.068362,0.159806,NO,0.168521,0.151616
-0.098314,0.164509,NO,0.213688,0.150661
-0.089206,0.292957,NO,0.177513,0.163849
-0.109585,0.231379,NO,0.163681,0.130711
-0.110681,0.276753,NO,0.212505,0.179811
-0.103198,0.15657,NO,0.185396,0.164046
0.000444,-0.038295,NO,0.319062,0.200711
-0.240166,-0.247615,NO,0.264384,0.215871
-0.072538,-0.040525,NO,0.362394,0.252865
-0.257175,-0.127326,NO,0.223801,0.21803
-0.439406,-0.239727,NO,0.189829,0.209191
-0.383595,-0.240307,NO,0.214347,0.198677
-0.327392,-0.25752,NO,0.224935,0.101281
-0.210478,-0.085214,NO,0.287987,0.137184
-0.262622,-0.073888,NO,0.294379,0.162766
-0.145566,-0.065685,NO,0.258503,0.279403
0.011896,0.078073,NO,0.278282,0.296111
-0.145314,-0.067374,NO,0.212813,0.138527
0.08117,0.25496,NO,0.287784,0.163084
-0.415261,-0.158728,NO,0.258388,0.154349
-0.419363,-0.336735,NO,0.218347,0.184875
-0.363932,-0.236924,NO,0.2534,0.201394
0.000444,-0.038295,NO,0.319062,0.200711
-0.240166,-0.247615,NO,0.264384,0.215871
-0.072538,-0.040525,NO,0.362394,0.252865
-0.257175,-0.127326,NO,0.223801,0.21803
-0.439406,-0.239727,NO,0.189829,0.209191
-0.383595,-0.240307,NO,0.214347,0.198677
-0.327392,-0.25752,NO,0.224935,0.101281
-0.210478,-0.085214,NO,0.287987,0.137184
-0.262622,-0.073888,NO,0.294379,0.162766
-0.145566,-0.065685,NO,0.258503,0.279403
0.011896,0.078073,NO,0.278282,0.296111
-0.145314,-0.067374,NO,0.212813,0.138527
0.08117,0.25496,NO,0.287784,0.163084
-0.415261,-0.158728,NO,0.258388,0.154349
-0.419363,-0.336735,NO,0.218347,0.184875
-0.363932,-0.236924,NO,0.2534,0.201394
0.669754,-0.153083,NO,0.280774,0.162055
0.315028,0.126883,NO,0.2032,0.155172
0.154231,-0.303155,NO,0.16323,0.153434
-0.205138,-0.378151,NO,0.169827,0.164396
-0.167873,-0.4075,NO,0.244684,0.190386
0.163284,-0.308167,NO,0.266521,0.17386
0.294448,0.044737,NO,0.193998,0.143284
0.464657,-0.129986,NO,0.192919,0.132618
0.126229,-0.091665,NO,0.291907,0.190675
0.393879,0.180227,NO,0.231967,0.127152
0.399224,0.076531,NO,0.176395,0.148697
0.045825,-0.14117,NO,0.156765,0.132602
-0.116734,-0.11023,NO,0.150552,0.115455
-0.232279,-0.242832,YES,0.533554,0.235681
-0.126615,0.001399,YES,0.640544,0.313408
-0.003258,-0.006968,YES,0.651869,0.252963
0.034056,0.061571,YES,0.516898,0.227037
-0.103251,0.033254,YES,0.577512,0.254888
-0.117824,-0.03096,YES,0.544112,0.267402
0.012655,0.177488,YES,0.551258,0.278458
0.264532,0.092494,YES,0.645836,0.284199
0.14679,0.134987,YES,0.560783,0.308097
-0.103713,-0.153795,YES,0.566728,0.283811
-0.26916,-0.244082,YES,0.558848,0.333756
-0.196813,-0.034647,YES,0.623381,0.299931
-0.022285,-0.030256,YES,0.625887,0.291719
0.02413,0.112083,YES,0.532705,0.285372
-0.112095,-0.084733,YES,0.483049,0.291568
-0.062044,-0.027729,NO,0.230192,0.390725
-0.040032,-0.234646,NO,0.476379,0.309925
0.525437,0.1171,NO,0.253314,0.407187
0.481632,0.509445,NO,0.323552,0.261452
0.259139,0.449697,NO,0.380786,0.385808
0.528689,0.145832,NO,0.362022,0.297264
0.523468,0.35015,NO,0.287091,0.285892
0.30366,0.532476,NO,0.328747,0.324851
0.231411,0.343583,NO,0.200575,0.271987
0.455312,0.390117,NO,0.316452,0.380368
0.152505,0.226803,NO,0.313148,0.32016
0.208405,0.196759,NO,0.296539,0.361932
0.022895,-0.015017,NO,0.28035,0.278643
-0.245075,-0.03559,NO,0.21149,0.167082
-0.261009,-0.259825,NO,0.172406,0.109603
-0.675588,-0.223494,NO,0.170905,0.130805
-0.574443,-0.292699,NO,0.14691,0.165035
-0.209522,0.060479,NO,0.154175,0.205554
-0.108638,0.208744,NO,0.176423,0.217031
-0.22976,-0.128163,NO,0.155438,0.188886
-0.243416,-0.208244,NO,0.138275,0.282576
-0.260656,-0.089054,NO,0.169402,0.237367
-0.271467,0.019999,NO,0.164886,0.204234
-0.213605,-0.079452,NO,0.131266,0.172737
0.063139,-0.022159,NO,0.250913,0.296733
0.090529,0.009534,YES,0.225544,0.299558
0.035429,0.054377,YES,0.718606,0.677144
0.017523,0.045407,YES,0.576646,0.387972
0.068652,0.00534,NO,0.235499,0.270133
0.060348,0.017292,YES,0.215272,0.330772
0.071513,0.069786,YES,0.690039,0.616879
0.034632,0.057927,YES,0.682328,0.367907
0.029024,-0.036345,NO,0.250251,0.292394
0.085821,-0.00604,YES,0.207573,0.368214
0.053919,0.050666,YES,0.624575,0.606774
0.017877,0.038616,YES,0.596017,0.384054
0.023928,-0.01359,NO,0.288852,0.184818
0.067166,0.010546,YES,0.296382,0.371422
0.035698,0.052436,NO,0.552613,0.350342
-0.020747,-0.033142,NO,0.421269,0.288361
-0.012716,0.049099,NO,0.291292,0.1815
-0.034964,-0.029938,NO,0.25283,0.197506
-0.231158,-0.157215,NO,0.159674,0.188899
-0.084758,-0.034228,NO,0.171599,0.171949
0.013863,0.107263,NO,0.245862,0.141758
-0.026916,-0.003178,NO,0.257648,0.158339
0.029626,0.078479,NO,0.252876,0.205131
-0.106996,-0.068986,NO,0.212395,0.195484
-0.154018,-0.115481,NO,0.174479,0.151007
-0.084899,-0.061915,NO,0.313675,0.165562
-0.24825,-0.103972,NO,0.141088,0.20203
-0.106666,-0.139325,NO,0.214343,0.158515
-0.130293,-0.125941,NO,0.204997,0.110354
0.087123,0.116415,NO,0.339103,0.192706
-0.023737,0.034023,NO,0.234165,0.173346
-0.027127,0.054241,NO,0.196869,0.181787
0.024905,0.021277,NO,0.176367,0.154257
-0.044785,0.058883,NO,0.273102,0.172295
-0.198629,-0.051035,NO,0.203545,0.163825
-0.296706,-0.242527,NO,0.187346,0.161624
-0.364053,-0.266679,NO,0.203874,0.120755
-0.260896,-0.179591,NO,0.190703,0.18679
-0.123298,0.150633,NO,0.288526,0.175813
-0.131199,0.178477,NO,0.205089,0.17009
-0.06782,-0.082504,NO,0.209682,0.160165
-0.199572,-0.209911,NO,0.195657,0.149681
-0.124565,-0.09069,NO,0.205713,0.127753
-0.255175,-0.071667,NO,0.271404,0.151575
-0.02204,0.059546,NO,0.552721,0.117984
0.060625,0.28576,NO,0.536479,0.339542
0.006191,0.370362,NO,0.466597,0.27105
-0.334889,0.148707,NO,0.180116,0.143249
-0.260519,0.195886,NO,0.164418,0.24956
-0.367325,0.137342,NO,0.280516,0.099768
-0.768858,0.298482,NO,0.170732,0.137761
-0.891792,0.281249,NO,0.156787,0.136402
-0.739732,0.411318,NO,0.19979,0.171821
-0.73948,0.431018,NO,0.543298,0.265521
-0.470077,0.426599,NO,0.30446,0.180421
-0.829326,0.175041,NO,0.401428,0.188465
-0.659486,0.102731,NO,0.552666,0.372431
-0.409694,-0.07629,NO,0.352581,0.37557
-0.460544,-0.137998,NO,0.287168,0.105421
0.127342,-0.098732,YES,0.670278,0.682643
0.248763,-0.185096,NO,0.279264,0.246678
0.20146,-0.215253,NO,0.211699,0.285837
0.058385,-0.244085,NO,0.285115,0.404007
0.273973,0.264834,NO,0.340873,0.264595
0.058135,0.293323,NO,0.289638,0.234493
0.448684,-0.134226,NO,0.301724,0.401529
0.31585,-0.203683,NO,0.283498,0.333963
0.195374,-0.011,NO,0.308271,0.371051
0.177403,-0.183744,NO,0.272314,0.410314
0.119338,-0.19847,NO,0.2791,0.347207
0.318062,0.022555,NO,0.246596,0.26458
0.195234,0.315925,YES,0.467824,0.19503
0.28978,-0.041484,NO,0.239364,0.330942
0.108759,-0.051083,NO,0.268445,0.167791
0.231281,0.301351,NO,1.128225,0.326352
0.394508,0.736601,NO,0.507596,0.268694
0.115282,0.29455,NO,0.298,0.17184
-0.139388,0.205695,NO,0.250141,0.188309
0.317755,0.508796,NO,0.473195,0.256599
0.339611,0.591628,NO,0.366197,0.15233
-0.03816,0.229213,NO,0.223869,0.254283
0.004587,0.194786,NO,1.07089,0.530868
0.256486,0.340507,NO,0.112415,0.128522
0.304288,0.539225,NO,0.319756,0.137663
0.320161,0.831332,NO,0.247243,0.221865
-0.141195,0.508755,NO,0.251842,0.277524
0.01843,0.013845,NO,0.567288,0.229253
0.079858,0.059696,NO,0.385126,0.344155
0.027531,0.076538,NO,0.479835,0.241013
0.102436,0.002778,NO,0.351117,0.331488
-0.015843,-0.109572,NO,0.348223,0.243694
-0.024561,-0.012352,NO,0.507487,0.216643
0.030525,0.048323,NO,0.553271,0.271854
0.022964,0.037573,NO,0.377895,0.270686
0.062614,0.015463,NO,0.336933,0.229916
0.100552,0.03075,NO,0.309992,0.324448
0.24814,0.007685,NO,0.327966,0.406998
0.252723,-0.115599,NO,0.273316,0.207324
-0.204428,0.000687,NO,0.46448,0.135895
-0.783524,-0.531372,NO,0.300164,0.173236
-0.538009,-0.183073,NO,0.280714,0.230925
0.041098,0.290999,NO,0.198891,0.249351
0.00991,0.141089,NO,0.3932,0.377344
-0.758873,-0.534006,NO,0.192137,0.174525
-0.43509,-0.059818,NO,0.420245,0.204902
-0.285482,0.090397,NO,0.224209,0.137306
-0.017416,0.290645,NO,0.473438,0.184262
-0.058908,-0.01233,NO,0.397017,0.176324
0.136142,0.164973,NO,0.165148,0.225744
0.168882,0.280915,NO,0.115262,0.100293
0.16932,0.02771,NO,0.368997,0.274338
0.126327,-0.164442,NO,0.290393,0.260631
0.176852,-0.191305,NO,0.235969,0.150673
0.081463,-0.289735,NO,0.525868,0.240681
-0.054279,-0.147597,NO,0.358709,0.162441
0.022565,-0.33536,NO,0.29844,0.205294
-0.013773,-0.178864,NO,0.296816,0.193931
0.036861,-0.165969,NO,0.341639,0.135524
0.229172,-0.155828,NO,0.242458,0.231202
0.136178,-0.22363,NO,0.527116,0.259579
0.010305,-0.135345,NO,0.34417,0.194564
0.026365,-0.244322,NO,0.255941,0.201879
0.011443,-0.020538,NO,0.463325,0.352977
0.139461,0.088761,NO,0.546278,0.308105
0.005022,0.076014,NO,0.438685,0.302291
-0.005376,0.058591,NO,0.393084,0.269363
0.214369,0.172267,NO,0.481885,0.332751
0.287214,0.0876,NO,0.488596,0.43165
0.192227,0.020496,NO,0.818035,0.376001
-0.050661,-0.092461,NO,0.393044,0.340964
-0.015699,0.028201,NO,0.410795,0.306525
0.008031,-0.076378,NO,0.438383,0.414963
0.153215,0.179468,NO,0.644227,0.259037
-0.0225,0.086433,NO,0.301535,0.308937
0.004824,0.083205,NO,0.396529,0.293524
0.255624,0.209847,NO,0.508369,0.314352
0.310495,0.178535,NO,0.451064,0.507226
0.062734,0.088993,YES,0.351705,0.155001
0.085437,0.17479,NO,0.329705,0.226414
0.066361,0.178921,NO,0.373857,0.203559
0.025454,0.145714,NO,0.354164,0.148347
-0.029789,-0.047869,NO,0.474516,0.205037
-0.016587,0.070607,YES,0.395129,0.180103
-0.093264,0.075864,NO,0.385186,0.205902
-0.040441,0.071025,NO,0.348654,0.227706
-0.019338,0.147654,NO,0.393961,0.194057
0.057025,0.121483,NO,0.352688,0.201115
-0.001169,0.071409,NO,0.434601,0.151612
0.024285,0.126287,NO,0.292603,0.205691
0.094823,0.154827,NO,0.325813,0.232087
0.020654,0.121819,NO,0.289931,0.191037
0.019829,0.043988,NO,0.23051,0.220411
-0.033956,0.126118,NO,0.407336,0.312003
0.078032,0.167453,NO,0.242782,0.24418
-0.011815,0.134719,NO,0.18434,0.249929
0.03269,0.210879,NO,0.365162,0.346347
0.060405,0.208071,NO,0.255359,0.250286
0.104832,0.199381,NO,0.501309,0.342476
0.000918,0.145844,NO,0.332192,0.374972
-0.02665,0.17904,NO,0.259536,0.259668
0.07888,0.183462,NO,0.186815,0.268545
0.010221,0.156054,NO,0.313036,0.34588
0.025811,0.149651,NO,0.355312,0.335246
0.059406,0.166849,NO,0.534937,0.279078
-0.260085,-0.141168,YES,0.463373,0.256258
-0.379949,-0.330123,NO,0.432272,0.150461
-0.492178,-0.340354,NO,0.346043,0.177706
-0.365276,-0.327524,NO,0.363402,0.154444
-0.439924,-0.195056,NO,0.403904,0.096282
-0.148876,-0.016741,NO,0.313718,0.294031
-0.440599,0.049038,NO,0.263069,0.144346
-0.168037,0.120442,NO,0.212746,0.117348
0.246501,-0.026389,NO,0.312263,0.137317
0.287283,-0.322599,NO,0.602855,0.207306
-0.152966,-0.215666,NO,0.18308,0.099856
-0.293216,-0.100741,NO,0.420753,0.150385
-0.197469,-0.358998,NO,0.342768,0.166262
0.262375,-0.271846,NO,0.342629,0.165081
0.603368,0.066502,NO,0.211527,0.097266
0.248311,0.185342,YES,0.33887,0.19214
0.19573,0.174159,YES,0.344128,0.137852
0.258048,0.228421,YES,0.333123,0.18715
0.186672,0.133561,YES,0.319586,0.184769
0.256452,0.212185,YES,0.269916,0.173888
0.228653,0.180644,YES,0.352642,0.18749
0.259731,0.182305,NO,0.350195,0.195648
0.248448,0.185128,YES,0.32593,0.203798
0.162201,0.149748,YES,0.375443,0.187735
0.25,0.239972,NO,0.274907,0.149586
0.210161,0.150913,YES,0.307535,0.196945
0.285009,0.193729,YES,0.308078,0.194901
