spectral_mfcc_Mean_12,spectral_mfcc_Mean_13,spectral_mfcc_Std_1,spectral_mfcc_Std_2,spectral_mfcc_Std_3
0.086104,-0.021515,0.770673,NO,0.782519
-0.40411,-0.026606,0.268881,NO,0.140945
-0.483715,0.139152,0.247422,NO,0.348365
-0.055309,0.0264,0.407016,NO,0.231531
0.109116,-0.242507,0.169761,NO,0.147867
0.041524,-0.230754,0.236674,NO,0.300458
-0.005203,-0.126732,0.412882,NO,0.346893
-0.082727,-0.115622,0.162608,NO,0.156304
-0.100455,-0.130842,0.2954,NO,0.139438
-0.097285,-0.017656,0.228644,NO,0.170542
-0.124638,-0.051843,0.154279,NO,0.151665
-0.135095,0.022912,0.448981,NO,0.244389
-0.210003,0.022213,0.61057,NO,0.228595
-0.410032,-0.462218,0.382945,NO,0.252541
-0.127236,-0.153662,0.623835,NO,0.218339
-0.051959,0.191797,0.406349,NO,0.191632
-0.126641,0.216911,0.283363,NO,0.124293
-0.197101,0.152804,0.30539,NO,0.123115
-0.263007,0.106284,0.230935,NO,0.161998
-0.180239,0.132366,0.277591,NO,0.165474
-0.068362,0.159806,0.224427,NO,0.151616
-0.098314,0.164509,0.194231,NO,0.150661
-0.089206,0.292957,0.486227,NO,0.163849
-0.109585,0.231379,0.420665,NO,0.130711
-0.110681,0.276753,0.498378,NO,0.179811
-0.103198,0.15657,0.339331,NO,0.164046
0.000444,-0.038295,0.635638,NO,0.200711
-0.240166,-0.247615,0.245361,NO,0.215871
-0.072538,-0.040525,0.433136,NO,0.252865
-0.257175,-0.127326,0.240573,NO,0.21803
-0.439406,-0.239727,0.245892,NO,0.209191
-0.383595,-0.240307,0.358901,NO,0.198677
-0.327392,-0.25752,0.197845,NO,0.101281
-0.210478,-0.085214,0.361423,NO,0.137184
-0.262622,-0.073888,0.258605,NO,0.162766
-0.145566,-0.065685,0.309222,NO,0.279403
0.011896,0.078073,0.341328,NO,0.296111
-0.145314,-0.067374,0.294254,NO,0.138527
0.08117,0.25496,0.376954,NO,0.163084
-0.415261,-0.158728,0.136496,NO,0.154349
-0.419363,-0.336735,0.316587,NO,0.184875
-0.363932,-0.236924,0.373727,NO,0.201394
0.000444,-0.038295,0.635638,NO,0.200711
-0.240166,-0.247615,0.245361,NO,0.215871
-0.072538,-0.040525,0.433136,NO,0.252865
-0.257175,-0.127326,0.240573,NO,0.21803
-0.439406,-0.239727,0.245892,NO,0.209191
-0.383595,-0.240307,0.358901,NO,0.198677
-0.327392,-0.25752,0.197845,NO,0.101281
-0.210478,-0.085214,0.361423,NO,0.137184
-0.262622,-0.073888,0.258605,NO,0.162766
-0.145566,-0.065685,0.309222,NO,0.279403
0.011896,0.078073,0.341328,NO,0.296111
-0.145314,-0.067374,0.294254,NO,0.138527
0.08117,0.25496,0.376954,NO,0.163084
-0.415261,-0.158728,0.136496,NO,0.154349
-0.419363,-0.336735,0.316587,NO,0.184875
-0.363932,-0.236924,0.373727,NO,0.201394
0.669754,-0.153083,0.339304,NO,0.162055
0.315028,0.126883,0.22099,NO,0.155172
0.154231,-0.303155,0.219535,NO,0.153434
-0.205138,-0.378151,0.263361,NO,0.164396
-0.167873,-0.4075,0.202875,NO,0.190386
0.163284,-0.308167,0.205699,NO,0.17386
0.294448,0.044737,0.383331,NO,0.143284
0.464657,-0.129986,0.138898,NO,0.132618
0.126229,-0.091665,0.317855,NO,0.190675
0.393879,0.180227,0.138863,NO,0.127152
0.399224,0.076531,0.193757,NO,0.148697
0.045825,-0.14117,0.214009,NO,0.132602
-0.116734,-0.11023,0.166519,NO,0.115455
-0.232279,-0.242832,0.986946,NO,0.235681
-0.126615,0.001399,1.027071,YES,0.313408
-0.003258,-0.006968,1.211471,YES,0.252963
0.034056,0.061571,0.962598,NO,0.227037
-0.103251,0.033254,1.008644,YES,0.254888
-0.117824,-0.03096,1.15654,NO,0.267402
0.012655,0.177488,0.812052,NO,0.278458
0.264532,0.092494,1.091825,YES,0.284199
0.14679,0.134987,1.003757,YES,0.308097
-0.103713,-0.153795,0.992717,YES,0.283811
-0.26916,-0.244082,1.087857,YES,0.333756
-0.196813,-0.034647,0.947394,YES,0.299931
-0.022285,-0.030256,1.28118,YES,0.291719
0.02413,0.112083,1.044578,NO,0.285372
-0.112095,-0.084733,0.82232,NO,0.291568
-0.062044,-0.027729,0.380489,NO,0.390725
-0.040032,-0.234646,0.256976,NO,0.309925
0.525437,0.1171,0.240854,NO,0.407187
0.481632,0.509445,0.287477,NO,0.261452
0.259139,0.449697,0.231708,NO,0.385808
0.528689,0.145832,0.63457,NO,0.297264
0.523468,0.35015,0.504751,NO,0.285892
0.30366,0.532476,0.366086,NO,0.324851
0.231411,0.343583,0.276117,NO,0.271987
0.455312,0.390117,0.440577,NO,0.380368
0.152505,0.226803,0.312916,NO,0.32016
0.208405,0.196759,0.426908,NO,0.361932
0.022895,-0.015017,0.613544,NO,0.278643
-0.245075,-0.03559,0.57643,NO,0.167082
-0.261009,-0.259825,0.195828,NO,0.109603
-0.675588,-0.223494,0.336835,NO,0.130805
-0.574443,-0.292699,0.233376,NO,0.165035
-0.209522,0.060479,0.229437,NO,0.205554
-0.108638,0.208744,0.261977,NO,0.217031
-0.22976,-0.128163,0.343522,NO,0.188886
-0.243416,-0.208244,0.19997,NO,0.282576
-0.260656,-0.089054,0.187304,NO,0.237367
-0.271467,0.019999,0.138138,NO,0.204234
-0.213605,-0.079452,0.157439,NO,0.172737
0.063139,-0.022159,0.674078,NO,0.296733
0.090529,0.009534,0.947345,NO,0.299558
0.035429,0.054377,0.941266,YES,0.677144
0.017523,0.045407,0.933145,YES,0.387972
0.068652,0.00534,0.610107,NO,0.270133
0.060348,0.017292,0.891698,NO,0.330772
0.071513,0.069786,0.788668,YES,0.616879
0.034632,0.057927,0.933771,YES,0.367907
0.029024,-0.036345,0.506311,NO,0.292394
0.085821,-0.00604,0.974219,NO,0.368214
0.053919,0.050666,0.935704,YES,0.606774
0.017877,0.038616,0.947442,YES,0.384054
0.023928,-0.01359,0.512002,NO,0.184818
0.067166,0.010546,0.960056,NO,0.371422
0.035698,0.052436,0.754686,NO,0.350342
-0.020747,-0.033142,0.43111,NO,0.288361
-0.012716,0.049099,0.443648,NO,0.1815
-0.034964,-0.029938,0.353329,NO,0.197506
-0.231158,-0.157215,0.260476,NO,0.188899
-0.084758,-0.034228,0.299323,NO,0.171949
0.013863,0.107263,0.338375,NO,0.141758
-0.026916,-0.003178,0.343102,NO,0.158339
0.029626,0.078479,0.339854,NO,0.205131
